District,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
22,2011-12,37212,2370,2760,2945,2825,2875,2966,3002,2283,2305,2442,2771,3021,2265,2381,18619,0.500349343,18593,0.499650657,6190,0.166344196,14937,0.401402771,5224,0.140384823,262,0.00704074,10599,0.284827471,4913,0.132027298,3668,0.098570354,27012,0.725894868
22,2012-13,36608,2194,2874,2968,2890,2791,2827,2885,2243,2296,2317,3000,2718,2238,2367,18127,0.49516499,18481,0.50483501,6260,0.171000868,14202,0.387947977,5214,0.142427891,357,0.009751967,10575,0.288871288,5026,0.1372924,3631,0.099185973,26117,0.713423312
22,2013-14,35912,2147,2801,3077,2943,2832,2750,2768,2163,2247,2305,2629,2854,2023,2373,17700,0.492871463,18212,0.507128537,6398,0.178157717,13288,0.370015591,5178,0.144185781,438,0.01219648,10610,0.295444429,5236,0.145800844,3534,0.098407216,25535,0.711043656
22,2014-15,35745,2672,2750,2919,3044,2874,2818,2687,2067,2140,2261,2449,2703,2207,2154,17624,0.493047982,18121,0.506952047,6576,0.183969781,12594,0.352328986,5285,0.147852853,510,0.01426773,10780,0.301580638,5361,0.149979025,3602,0.100769341,25339,0.708882332
22,2015-16,35775,2772,2745,2903,2856,2966,2839,2758,2063,2087,2129,2589,2581,2186,2301,17618,0.492466807,18157,0.507533193,6694,0.187113911,12065,0.337246686,5430,0.151781976,603,0.016855346,10983,0.307002097,5438,0.152005583,3440,0.096156538,25327,0.707952499
23,2011-12,11874,858,807,876,919,997,910,864,1249,1190,1299,628,519,335,423,5778,0.486609399,6096,0.513390601,110,0.009263938,9436,0.794677436,2163,0.182162702,66,0.005558363,99,0.008337544,2123,0.178793997,506,0.042614114,10803,0.909802914
23,2012-13,11301,818,854,844,832,894,866,792,1065,1219,1181,524,555,419,438,5351,0.473497927,5950,0.526502073,129,0.011414919,8782,0.777099371,2187,0.193522692,109,0.009645164,94,0.008317848,2172,0.192195386,526,0.046544552,10304,0.911777735
23,2013-14,10767,890,779,856,779,795,853,686,1031,1017,1189,496,544,439,413,5117,0.475248456,5650,0.524751544,94,0.00873038,8341,0.774681926,2114,0.196340665,121,0.011238042,97,0.009009009,2312,0.214730188,466,0.043280393,9679,0.898950517
23,2014-15,10459,831,795,818,850,758,779,774,894,994,1018,480,492,438,538,4964,0.474615157,5495,0.525384843,99,0.009465532,8000,0.764891505,2132,0.203843579,129,0.012333876,99,0.009465532,2358,0.225451767,476,0.045511045,9322,0.891289771
23,2015-16,9952,827,727,811,781,761,749,685,938,856,975,397,468,433,544,4646,0.466840833,5306,0.533159137,100,0.010048231,7550,0.758641481,2072,0.208199352,131,0.013163183,99,0.009947749,2176,0.218649521,446,0.044815112,8640,0.868167222
24,2011-12,57585,3696,4982,5046,4911,4654,4529,4249,3916,3978,4070,3911,3391,2954,3298,27212,0.472553611,30373,0.527446389,11375,0.197534084,2009,0.034887556,35744,0.620717227,242,0.004202483,8215,0.142658681,7190,0.124858901,13037,0.226395756,47642,0.82733351
24,2012-13,58656,3683,5211,5112,5016,4904,4612,4395,4043,4129,4054,3645,3562,2839,3451,27796,0.473881602,30860,0.526118398,11664,0.198854342,1889,0.032204717,36377,0.620175242,381,0.006495499,8345,0.142270193,7646,0.130353242,12844,0.218971625,49744,0.84806329
24,2013-14,59750,3660,5235,5342,5033,4987,4795,4523,3968,4284,4222,3773,3487,3153,3288,28247,0.472753137,31503,0.527246833,11827,0.197941422,1860,0.031129707,37157,0.621874452,492,0.00823431,8414,0.140820086,8411,0.140769869,12875,0.215481177,51194,0.856803358
24,2014-15,60211,3466,5182,5325,5164,4977,4928,4641,4134,4181,4333,3886,3514,2961,3519,28524,0.473734021,31687,0.526265979,11789,0.195794791,1803,0.029944694,37613,0.624686539,503,0.008353955,8503,0.141220048,8911,0.147996217,13011,0.216090083,51372,0.853199601
24,2015-16,60556,3688,5123,5209,5211,5128,4970,4748,4206,4228,4184,3897,3648,2974,3342,28554,0.471530497,32002,0.528469503,11971,0.197684795,1741,0.028750248,37704,0.622630298,589,0.009726534,8551,0.141208142,9087,0.150059447,12807,0.211490184,51153,0.844722211
25,2011-12,36436,2319,2795,2749,2775,2498,2452,2349,2592,2488,2421,3429,2777,2423,2368,17878,0.490668565,18558,0.509331405,16252,0.446042389,3776,0.103633769,10374,0.284718424,265,0.007273027,5769,0.158332422,4476,0.122845538,6418,0.176144466,25832,0.708969176
